nm,n,k
381.203583,1.566357,0.000002
382.375854,1.56603,0.000002
383.555359,1.565702,0.000002
384.742188,1.565375,0.000002
385.936371,1.565047,0.000002
387.138,1.564719,0.000002
388.347107,1.564391,0.000002
389.563812,1.564063,0.000002
390.788177,1.563735,0.000002
392.020233,1.563407,0.000003
393.260071,1.563079,0.000003
394.507813,1.562751,0.000003
395.763489,1.562423,0.000003
397.027161,1.562095,0.000003
398.298981,1.561768,0.000003
399.578918,1.56144,0.000003
400.867126,1.561113,0.000003
402.163696,1.560786,0.000003
403.468658,1.56046,0.000003
404.782135,1.560134,0.000003
406.104156,1.559808,0.000003
407.434875,1.559483,0.000003
408.774323,1.559159,0.000003
410.12262,1.558835,0.000003
411.479828,1.558511,0.000003
412.846039,1.558188,0.000003
414.221375,1.557866,0.000003
415.605896,1.557545,0.000003
416.999695,1.557224,0.000003
418.402893,1.556904,0.000003
419.815521,1.556585,0.000003
421.237732,1.556267,0.000003
422.669617,1.55595,0.000003
424.111328,1.555633,0.000003
425.562836,1.555318,0.000003
427.024353,1.555004,0.000003
428.495941,1.55469,0.000003
429.977722,1.554378,0.000003
431.469788,1.554067,0.000003
432.972229,1.553758,0.000003
434.485168,1.553449,0.000003
436.008698,1.553142,0.000003
437.542969,1.552836,0.000003
439.088043,1.552532,0.000003
440.644104,1.552229,0.000003
442.211243,1.551927,0.000003
443.789551,1.551627,0.000003
445.37915,1.551329,0.000003
446.980225,1.551032,0.000003
448.592834,1.550737,0.000003
450.217102,1.550443,0.000003
451.85318,1.550151,0.000003
453.501129,1.549862,0.000003
455.161224,1.549573,0.000003
456.833496,1.549287,0.000003
458.518127,1.549003,0.000003
460.215179,1.54872,0.000003
461.924896,1.54844,0.000003
463.647308,1.548161,0.000003
465.38266,1.547885,0.000003
467.131042,1.547611,0.000003
468.892578,1.547339,0.000003
470.66748,1.547069,0.000003
472.455872,1.546801,0.000003
474.257904,1.546536,0.000003
476.07373,1.546272,0.000003
477.903503,1.546011,0.000003
479.747406,1.545751,0.000003
481.605621,1.545492,0.000003
483.47821,1.545235,0.000003
485.36554,1.54498,0.000003
487.267517,1.544725,0.000003
489.18457,1.544471,0.000003
491.116699,1.544217,0.000003
493.064148,1.543965,0.000003
495.027161,1.543712,0.000003
497.005859,1.54346,0.000003
499.000397,1.543208,0.000003
501.011047,1.542956,0.000003
503.037933,1.542704,0.000003
505.081299,1.542451,0.000003
507.141357,1.542197,0.000003
509.218262,1.541943,0.000003
511.312256,1.541688,0.000003
513.423523,1.541431,0.000003
515.552368,1.541174,0.000003
517.698853,1.540915,0.000003
519.863342,1.540654,0.000003
522.046021,1.540392,0.000003
524.247009,1.540128,0.000003
526.466736,1.539861,0.000003
528.705322,1.539593,0.000003
530.963013,1.539322,0.000003
533.240051,1.539048,0.000003
535.536621,1.538772,0.000003
537.853149,1.538493,0.000003
540.189819,1.538211,0.000003
542.546875,1.537928,0.000003
544.924622,1.537642,0.000004
547.323242,1.537355,0.000004
549.743103,1.537067,0.000004
552.184448,1.536777,0.000004
554.647583,1.536486,0.000004
557.132751,1.536195,0.000004
559.64032,1.535904,0.000004
562.170593,1.535612,0.000004
564.723816,1.535321,0.000004
567.300354,1.53503,0.000004
569.900513,1.534739,0.000004
572.524536,1.53445,0.000004
575.172974,1.534162,0.000004
577.845947,1.533875,0.000004
580.543823,1.53359,0.000004
583.267151,1.533307,0.000004
586.016052,1.533027,0.000004
588.790894,1.532748,0.000004
591.592285,1.532473,0.000004
594.420471,1.532201,0.000004
597.275757,1.531932,0.000004
600.15863,1.531667,0.000004
603.069458,1.531405,0.000004
606.008667,1.531148,0.000004
608.976685,1.530895,0.000004
611.973938,1.530647,0.000004
615.000793,1.530403,0.000004
618.057739,1.530165,0.000004
621.145264,1.529932,0.000004
624.263794,1.529704,0.000004
627.413757,1.529481,0.000004
630.595703,1.529263,0.000004
633.810059,1.529049,0.000004
637.057312,1.528839,0.000004
640.338074,1.528632,0.000004
643.652771,1.52843,0.000005
647.002014,1.528231,0.000005
650.386292,1.528035,0.000005
653.806091,1.527842,0.000005
657.262085,1.527652,0.000005
660.754822,1.527464,0.000005
664.284851,1.527278,0.000005
667.852844,1.527094,0.000005
671.45929,1.526912,0.000005
675.104919,1.526732,0.000005
678.790405,1.526553,0.000005
682.516357,1.526375,0.000005
686.283386,1.526198,0.000005
690.092285,1.526021,0.000005
693.943665,1.525845,0.000005
697.838257,1.525669,0.000005
701.776855,1.525492,0.000005
705.760132,1.525316,0.000005
709.78894,1.525138,0.000005
713.863892,1.52496,0.000005
717.985962,1.524781,0.000005
722.155884,1.5246,0.000005
726.374634,1.524418,0.000006
730.642883,1.524234,0.000006
734.961548,1.524049,0.000006
739.331665,1.523861,0.000006
743.754028,1.523671,0.000006
748.229614,1.52348,0.000006
752.759399,1.523287,0.000006
757.344299,1.523092,0.000006
761.985474,1.522896,0.000006
766.683838,1.522698,0.000006
771.440552,1.522498,0.000006
776.256592,1.522298,0.000006
781.133179,1.522096,0.000006
786.071411,1.521893,0.000006
791.07251,1.521688,0.000006
796.137573,1.521483,0.000006
801.268005,1.521276,0.000007
806.464966,1.521069,0.000007
811.729736,1.520861,0.000007
817.063721,1.520652,0.000007
822.468262,1.520442,0.000007
827.944824,1.520231,0.000007
833.494751,1.52002,0.000007
839.119629,1.519808,0.000007
844.820923,1.519596,0.000007
850.600281,1.519383,0.000007
856.459167,1.51917,0.000007
862.399292,1.518957,0.000007
868.422485,1.518743,0.000007
874.530396,1.51853,0.000007
880.724792,1.518316,0.000008
887.007629,1.518102,0.000008
893.380676,1.517889,0.000008
