nm,n,k
245.89743,1.70525,0.016567
247.487381,1.705603,0.017193
249.077316,1.705941,0.017178
250.667236,1.706146,0.016644
252.257172,1.706141,0.015703
253.847092,1.70588,0.01446
255.437012,1.705338,0.013012
257.026917,1.704506,0.011448
258.616821,1.703391,0.00985
260.206726,1.702014,0.008298
261.7966,1.700411,0.006861
263.386505,1.698647,0.005605
264.976379,1.69681,0.00454
266.566223,1.694952,0.003648
268.156067,1.693104,0.002907
269.745911,1.691289,0.0023
271.335754,1.689523,0.001808
272.925598,1.687817,0.001416
274.515411,1.686179,0.001108
276.105194,1.684613,0.000869
277.695007,1.68312,0.000685
279.28476,1.681702,0.000543
280.874542,1.680354,0.000432
282.464294,1.67907,0.00034
284.054016,1.677842,0.000262
285.643738,1.676664,0.000198
287.233459,1.675532,0.000146
288.823181,1.674444,0.000105
290.412842,1.673398,0.000072
292.002502,1.672391,0.000047
293.592163,1.671421,0.000029
295.181824,1.670486,0.000016
296.771423,1.669585,0.000008
298.361023,1.668716,0.000003
299.950623,1.667877,0.000001
301.540192,1.667067,0
303.12973,1.666284,0
304.719269,1.665526,0
306.308777,1.664791,0
307.898285,1.664079,0
309.487762,1.663387,0
311.077209,1.662715,0
312.666656,1.662062,0
314.256073,1.661426,0
315.845459,1.660808,0
317.434845,1.660206,0
319.0242,1.659619,0
320.613525,1.659047,0
322.20282,1.65849,0
323.792114,1.657946,0
325.381409,1.657416,0
326.970642,1.656898,0
328.559845,1.656392,0
330.149017,1.655898,0
331.73822,1.655416,0
333.327332,1.654944,0
334.916443,1.654483,0
336.505554,1.654032,0
338.094604,1.65359,0
339.683655,1.653158,0
341.272644,1.652735,0
342.861633,1.652321,0
344.450623,1.651916,0
346.03952,1.651519,0
347.628418,1.651129,0
349.217316,1.650748,0
350.806152,1.650374,0
352.394958,1.650007,0
353.983734,1.649647,0
355.572479,1.649294,0
357.161194,1.648948,0
358.749908,1.648608,0
360.338562,1.648275,0
361.927185,1.647947,0
363.515778,1.647626,0
365.10434,1.64731,0
366.692871,1.646999,0
368.281372,1.646694,0
369.869812,1.646394,0
371.458252,1.6461,0
373.046631,1.64581,0
374.63501,1.645525,0
376.223328,1.645245,0
377.811615,1.64497,0
379.399841,1.644699,0
380.988098,1.644432,0
382.576233,1.644169,0
384.164398,1.643911,0
385.752502,1.643656,0
387.340546,1.643406,0
388.928589,1.643159,0
390.516571,1.642916,0
392.104523,1.642677,0
393.692444,1.642441,0
395.280304,1.642209,0
396.868134,1.64198,0
398.455902,1.641754,0
400.043671,1.641532,0
401.631378,1.641312,0
403.219055,1.641096,0
404.806671,1.640883,0
406.394226,1.640672,0
407.981781,1.640465,0
409.569275,1.64026,0
411.156738,1.640058,0
412.744141,1.639859,0
414.331482,1.639662,0
415.918793,1.639468,0
417.506042,1.639276,0
419.093323,1.639087,0
420.680481,1.6389,0
422.267639,1.638715,0
423.854675,1.638533,0
425.441742,1.638353,0
427.028748,1.638175,0
428.615662,1.637999,0
430.202576,1.637825,0
431.789459,1.637654,0
433.376221,1.637484,0
434.962982,1.637316,0
436.549713,1.637151,0
438.136322,1.636987,0
439.722961,1.636825,0
441.309479,1.636665,0
442.895996,1.636506,0
444.482422,1.636349,0
446.068848,1.636194,0
447.655182,1.636041,0
449.241455,1.635889,0
450.827698,1.635739,0
452.413879,1.63559,0
454,1.635443,0
455.58609,1.635297,0
457.172119,1.635153,0
458.758057,1.635011,0
460.343994,1.634869,0
461.92984,1.63473,0
463.515625,1.634591,0
465.101379,1.634454,0
466.687073,1.634318,0
468.272705,1.634183,0
469.858246,1.63405,0
471.443787,1.633918,0
473.029236,1.633787,0
474.614655,1.633657,0
476.199951,1.633529,0
477.785248,1.633402,0
479.370453,1.633276,0
480.955627,1.63315,0
482.54071,1.633026,0
484.125732,1.632903,0
485.710754,1.632782,0
487.295654,1.632661,0
488.880463,1.632541,0
490.465271,1.632422,0
492.049988,1.632304,0
493.634674,1.632187,0
495.219299,1.632071,0
496.803802,1.631956,0
498.388275,1.631842,0
499.972656,1.631728,0
501.557037,1.631616,0
503.141296,1.631504,0
504.725494,1.631394,0
506.309662,1.631284,0
507.893707,1.631175,0
509.477722,1.631066,0
511.061676,1.630959,0
512.645569,1.630852,0
514.22937,1.630746,0
515.81311,1.630641,0
517.39679,1.630537,0
518.980347,1.630433,0
520.563904,1.63033,0
522.147339,1.630228,0
523.730774,1.630126,0
525.314087,1.630025,0
526.897339,1.629925,0
528.48053,1.629825,0
530.063599,1.629726,0
531.646606,1.629628,0
533.229614,1.62953,0
534.8125,1.629433,0
536.395325,1.629336,0
537.978027,1.62924,0
539.560669,1.629145,0
541.143311,1.62905,0
542.72583,1.628956,0
544.308228,1.628862,0
545.890625,1.628769,0
547.472961,1.628676,0
549.055115,1.628584,0
550.637329,1.628493,0
552.21936,1.628402,0
553.801331,1.628311,0
555.38324,1.628221,0
556.965088,1.628132,0
558.546814,1.628042,0
560.128479,1.627954,0
561.710083,1.627866,0
563.291626,1.627778,0
564.873047,1.627691,0
566.454407,1.627604,0
568.035645,1.627517,0
569.616821,1.627431,0
571.197937,1.627346,0
572.778992,1.627261,0
574.359924,1.627176,0
575.940796,1.627092,0
577.521606,1.627007,0
579.102234,1.626924,0
580.682861,1.626841,0
582.263428,1.626758,0
583.843872,1.626675,0
585.424194,1.626593,0
587.004517,1.626512,0
588.584656,1.62643,0
590.164795,1.626349,0
591.744751,1.626269,0
593.324707,1.626188,0
594.904602,1.626108,0
596.484314,1.626028,0
598.064026,1.625949,0
599.643555,1.62587,0
601.223022,1.625791,0
602.80249,1.625713,0
604.381775,1.625635,0
605.960999,1.625557,0
607.540161,1.625479,0
609.119202,1.625402,0
610.69812,1.625325,0
612.276978,1.625248,0
613.855774,1.625172,0
615.434448,1.625095,0
617.013062,1.625019,0
618.591553,1.624944,0
620.169922,1.624868,0
621.74823,1.624793,0
623.326477,1.624718,0
624.904602,1.624643,0
626.482605,1.624569,0
628.060547,1.624495,0
629.638367,1.624421,0
631.216125,1.624347,0
632.793762,1.624273,0
634.371277,1.6242,0
635.94873,1.624127,0
637.526123,1.624054,0
639.103394,1.623981,0
640.680542,1.623909,0
642.257568,1.623837,0
643.834595,1.623765,0
645.411438,1.623693,0
646.988159,1.623621,0
648.564819,1.62355,0
650.141418,1.623478,0
651.717896,1.623407,0
653.29425,1.623336,0
654.870483,1.623266,0
656.446655,1.623195,0
658.022766,1.623124,0
659.598694,1.623054,0
661.174561,1.622984,0
662.750305,1.622914,0
664.325989,1.622844,0
665.901489,1.622775,0
667.476929,1.622705,0
669.052307,1.622636,0
670.627563,1.622567,0
672.202637,1.622498,0
673.77771,1.622429,0
675.3526,1.62236,0
676.927368,1.622292,0
678.502075,1.622223,0
680.076721,1.622155,0
681.651184,1.622087,0
683.225586,1.622019,0
684.799866,1.621951,0
686.374023,1.621883,0
687.94812,1.621816,0
689.522034,1.621748,0
691.095825,1.621681,0
692.669556,1.621613,0
694.243225,1.621546,0
695.816772,1.621479,0
697.390137,1.621412,0
698.96344,1.621345,0
700.53656,1.621279,0
702.10968,1.621212,0
703.682617,1.621146,0
705.255493,1.621079,0
706.828186,1.621013,0
708.400757,1.620947,0
709.973267,1.62088,0
711.545654,1.620814,0
713.11792,1.620749,0
714.690063,1.620683,0
716.262146,1.620617,0
717.834106,1.620551,0
719.405884,1.620486,0
720.977539,1.62042,0
722.549133,1.620355,0
724.120605,1.620289,0
725.691956,1.620224,0
727.263123,1.620159,0
728.83429,1.620094,0
730.405212,1.620029,0
731.976135,1.619964,0
733.546875,1.619899,0
735.117493,1.619834,0
736.687988,1.619769,0
738.258423,1.619705,0
739.828674,1.61964,0
741.398804,1.619576,0
742.968872,1.619511,0
744.538696,1.619447,0
746.108521,1.619382,0
747.678162,1.619318,0
749.247681,1.619254,0
750.817139,1.619189,0
752.386414,1.619125,0
753.955566,1.619061,0
755.524597,1.618997,0
757.093506,1.618933,0
758.662292,1.618869,0
760.230957,1.618805,0
761.7995,1.618741,0
763.36792,1.618677,0
764.936218,1.618614,0
766.504395,1.61855,0
768.072388,1.618486,0
769.64032,1.618423,0
771.20813,1.618359,0
772.775757,1.618296,0
774.343262,1.618232,0
775.910645,1.618169,0
777.477905,1.618105,0
779.045044,1.618042,0
780.612061,1.617978,0
782.178894,1.617915,0
783.745667,1.617852,0
785.312256,1.617788,0
786.878784,1.617725,0
788.445068,1.617662,0
790.011292,1.617599,0
791.577393,1.617535,0
793.143311,1.617472,0
794.709106,1.617409,0
796.27478,1.617346,0
797.840393,1.617283,0
799.405762,1.61722,0
800.971069,1.617157,0
802.536194,1.617094,0
804.101196,1.617031,0
805.666077,1.616968,0
807.230835,1.616905,0
808.79541,1.616842,0
810.359863,1.616779,0
811.924194,1.616716,0
813.488403,1.616653,0
815.052429,1.61659,0
816.616333,1.616527,0
818.180054,1.616464,0
819.743774,1.616401,0
821.307251,1.616338,0
822.870605,1.616276,0
824.433777,1.616213,0
825.996887,1.61615,0
827.559753,1.616087,0
829.122559,1.616024,0
830.685242,1.615962,0
832.247742,1.615899,0
833.810059,1.615836,0
835.372253,1.615773,0
836.934387,1.61571,0
838.496277,1.615647,0
840.058105,1.615585,0
841.619751,1.615522,0
843.181274,1.615459,0
844.742554,1.615396,0
846.303833,1.615333,0
847.864868,1.61527,0
849.425781,1.615208,0
850.986633,1.615145,0
852.54718,1.615082,0
854.107727,1.615019,0
855.667969,1.614956,0
857.22821,1.614893,0
858.788208,1.614831,0
860.348145,1.614768,0
861.907837,1.614705,0
863.467468,1.614642,0
865.026855,1.614579,0
866.586121,1.614516,0
868.145325,1.614453,0
869.704285,1.61439,0
871.263184,1.614327,0
872.821777,1.614264,0
874.380371,1.614201,0
875.938782,1.614138,0
877.496948,1.614075,0
879.055054,1.614012,0
880.612976,1.613949,0
882.170715,1.613886,0
883.728333,1.613823,0
885.285828,1.61376,0
886.84314,1.613697,0
888.400269,1.613634,0
889.957336,1.613571,0
891.51416,1.613508,0
893.070801,1.613445,0
894.627319,1.613381,0
896.183716,1.613318,0
897.739929,1.613255,0
899.296021,1.613192,0
900.851868,1.613128,0
902.407593,1.613065,0
903.963196,1.613002,0
905.518677,1.612939,0
907.073914,1.612875,0
908.629028,1.612812,0
910.18396,1.612748,0
911.73877,1.612685,0
913.293335,1.612622,0
914.847839,1.612558,0
916.402161,1.612494,0
917.956238,1.612431,0
919.510254,1.612367,0
921.064087,1.612304,0
922.617798,1.61224,0
924.171204,1.612177,0
925.724609,1.612113,0
927.27771,1.612049,0
928.83075,1.611985,0
930.383606,1.611922,0
931.936218,1.611858,0
933.48877,1.611794,0
935.041138,1.61173,0
936.593262,1.611666,0
938.145325,1.611602,0
939.697083,1.611539,0
941.24884,1.611475,0
942.800293,1.61141,0
944.351685,1.611346,0
945.902832,1.611282,0
947.453796,1.611218,0
949.004578,1.611154,0
950.555298,1.61109,0
952.105774,1.611026,0
953.656128,1.610962,0
955.206238,1.610897,0
956.756226,1.610833,0
958.30603,1.610769,0
959.855774,1.610704,0
961.405151,1.61064,0
962.954468,1.610575,0
964.503601,1.610511,0
966.052551,1.610446,0
967.601379,1.610382,0
969.150024,1.610317,0
970.698425,1.610252,0
972.246704,1.610188,0
973.794739,1.610123,0
975.342651,1.610058,0
976.890442,1.609994,0
978.437988,1.609929,0
979.985352,1.609864,0
981.532532,1.609799,0
983.07959,1.609734,0
984.626465,1.609669,0
986.173157,1.609604,0
987.719604,1.609539,0
989.26593,1.609474,0
990.812134,1.609409,0
992.358032,1.609343,0
993.903809,1.609278,0
995.449402,1.609213,0
996.994812,1.609148,0
998.540161,1.609082,0
