nm,SCAN
380,4.52
381,4.21
382,3.96
383,3.78
384,3.41
385,3.26
386,3.19
387,3.05
388,3.07
389,3.14
390,3.31
391,3.54
392,3.67
393,3.85
394,4.02
395,4.24
396,4.54
397,4.81
398,5.19
399,5.59
400,5.96
401,6.34
402,6.53
403,6.87
404,7.28
405,7.6
406,7.93
407,8.19
408,8.51
409,8.67
410,8.94
411,9.11
412,9.18
413,9.36
414,9.42
415,9.49
416,9.51
417,9.46
418,9.41
419,9.33
420,9.16
421,9.04
422,8.89
423,8.72
424,8.54
425,8.36
426,8.03
427,7.79
428,7.53
429,7.25
430,6.92
431,6.64
432,6.31
433,5.96
434,5.65
435,5.35
436,5.06
437,4.77
438,4.53
439,4.2
440,3.96
441,3.71
442,3.47
443,3.29
444,3.14
445,3.04
446,2.97
447,2.9
448,2.84
449,2.83
450,2.83
451,2.86
452,2.93
453,3
454,3.08
455,3.21
456,3.36
457,3.56
458,3.75
459,3.96
460,4.19
461,4.44
462,4.67
463,4.9
464,5.16
465,5.42
466,5.69
467,5.94
468,6.21
469,6.46
470,6.7
471,6.96
472,7.19
473,7.38
474,7.6
475,7.83
476,8.04
477,8.24
478,8.43
479,8.57
480,8.72
481,8.85
482,8.96
483,9.06
484,9.14
485,9.2
486,9.23
487,9.28
488,9.29
489,9.3
490,9.3
491,9.26
492,9.23
493,9.17
494,9.09
495,9.01
496,8.9
497,8.79
498,8.66
499,8.52
500,8.37
501,8.21
502,8.04
503,7.86
504,7.67
505,7.51
506,7.31
507,7.1
508,6.9
509,6.69
510,6.48
511,6.27
512,6.05
513,5.83
514,5.61
515,5.4
516,5.19
517,4.98
518,4.77
519,4.57
520,4.37
521,4.17
522,4.01
523,3.84
524,3.69
525,3.54
526,3.42
527,3.29
528,3.18
529,3.08
530,2.97
531,2.87
532,2.8
533,2.74
534,2.7
535,2.68
536,2.66
537,2.66
538,2.67
539,2.68
540,2.72
541,2.77
542,2.82
543,2.88
544,2.96
545,3.04
546,3.12
547,3.23
548,3.34
549,3.47
550,3.61
551,3.74
552,3.88
553,4.03
554,4.18
555,4.33
556,4.48
557,4.63
558,4.79
559,4.95
560,5.12
561,5.29
562,5.45
563,5.61
564,5.77
565,5.93
566,6.09
567,6.29
568,6.44
569,6.59
570,6.74
571,6.87
572,7.01
573,7.15
574,7.28
575,7.41
576,7.54
577,7.65
578,7.76
579,7.89
580,7.97
581,8.06
582,8.14
583,8.22
584,8.29
585,8.36
586,8.43
587,8.49
588,8.54
589,8.59
590,8.61
591,8.65
592,8.67
593,8.69
594,8.7
595,8.69
596,8.68
597,8.67
598,8.65
599,8.63
600,8.61
601,8.58
602,8.56
603,8.52
604,8.47
605,8.42
606,8.36
607,8.29
608,8.24
609,8.16
610,8.08
611,7.98
612,7.89
613,7.81
614,7.74
615,7.66
616,7.57
617,7.46
618,7.36
619,7.26
620,7.17
621,7.07
622,6.97
623,6.85
624,6.73
625,6.64
626,6.53
627,6.43
628,6.31
629,6.19
630,6.07
631,5.95
632,5.83
633,5.7
634,5.58
635,5.48
636,5.38
637,5.28
638,5.15
639,5.05
640,4.94
641,4.83
642,4.74
643,4.62
644,4.54
645,4.46
646,4.37
647,4.27
648,4.19
649,4.11
650,4.03
651,3.95
652,3.86
653,3.8
654,3.73
655,3.66
656,3.62
657,3.56
658,3.52
659,3.46
660,3.42
661,3.38
662,3.35
663,3.32
664,3.29
665,3.26
666,3.24
667,3.22
668,3.21
669,3.2
670,3.2
671,3.19
672,3.19
673,3.19
674,3.19
675,3.2
676,3.21
677,3.23
678,3.24
679,3.26
680,3.29
681,3.32
682,3.35
683,3.39
684,3.42
685,3.45
686,3.48
687,3.51
688,3.55
689,3.6
690,3.66
691,3.71
692,3.76
693,3.82
694,3.87
695,3.91
696,3.99
697,4.02
698,4.08
699,4.12
700,4.17
701,4.25
702,4.31
703,4.37
704,4.44
705,4.51
706,4.56
707,4.64
708,4.68
709,4.74
710,4.8
711,4.83
712,4.91
713,4.96
714,5.02
715,5.09
716,5.13
717,5.21
718,5.25
719,5.3
720,5.36
721,5.4
722,5.46
723,5.51
724,5.56
725,5.6
726,5.64
727,5.7
728,5.75
729,5.81
730,5.85
731,5.89
732,5.93
733,5.97
734,6.01
735,6.04
736,6.08
737,6.11
738,6.13
739,6.17
740,6.19
741,6.23
742,6.27
743,6.3
744,6.32
745,6.34
746,6.36
747,6.37
748,6.38
749,6.41
750,6.41
751,6.46
752,6.48
753,6.48
754,6.5
755,6.49
756,6.5
757,6.5
758,6.51
759,6.52
760,6.53
761,6.55
762,6.53
763,6.55
764,6.51
765,6.5
766,6.49
767,6.49
768,6.49
769,6.52
770,6.5
771,6.48
772,6.48
773,6.46
774,6.46
775,6.46
776,6.43
777,6.4
778,6.38
779,6.37
780,6.38
