nm,SCAN
400,11.81
401,11.83
402,11.89
403,11.93
404,11.88
405,11.89
406,11.78
407,11.74
408,11.7
409,11.52
410,11.28
411,11.05
412,10.74
413,10.56
414,10.3
415,10.08
416,9.76
417,9.46
418,9.16
419,8.94
420,8.61
421,8.32
422,8.04
423,7.81
424,7.62
425,7.51
426,7.35
427,7.22
428,7.1
429,6.97
430,6.88
431,6.84
432,6.83
433,6.85
434,6.93
435,7.01
436,7.13
437,7.23
438,7.34
439,7.52
440,7.74
441,7.97
442,8.26
443,8.48
444,8.72
445,8.96
446,9.17
447,9.42
448,9.65
449,9.85
450,10.1
451,10.33
452,10.54
453,10.72
454,10.86
455,11.03
456,11.19
457,11.34
458,11.42
459,11.51
460,11.6
461,11.63
462,11.7
463,11.73
464,11.72
465,11.72
466,11.71
467,11.64
468,11.59
469,11.46
470,11.35
471,11.17
472,11.02
473,10.9
474,10.73
475,10.59
476,10.41
477,10.22
478,10.03
479,9.78
480,9.57
481,9.34
482,9.14
483,8.94
484,8.73
485,8.5
486,8.35
487,8.15
488,7.95
489,7.78
490,7.6
491,7.44
492,7.3
493,7.17
494,7.04
495,6.93
496,6.83
497,6.75
498,6.68
499,6.64
500,6.62
501,6.58
502,6.58
503,6.6
504,6.63
505,6.67
506,6.73
507,6.8
508,6.89
509,6.99
510,7.1
511,7.23
512,7.36
513,7.5
514,7.65
515,7.8
516,7.95
517,8.12
518,8.28
519,8.44
520,8.62
521,8.8
522,8.98
523,9.16
524,9.35
525,9.52
526,9.7
527,9.87
528,10.03
529,10.2
530,10.34
531,10.48
532,10.62
533,10.74
534,10.86
535,10.98
536,11.08
537,11.17
538,11.25
539,11.33
540,11.4
541,11.46
542,11.51
543,11.54
544,11.57
545,11.6
546,11.61
547,11.6
548,11.6
549,11.55
550,11.5
551,11.47
552,11.42
553,11.38
554,11.32
555,11.23
556,11.16
557,11.07
558,10.98
559,10.88
560,10.78
561,10.68
562,10.56
563,10.42
564,10.28
565,10.15
566,10.03
567,9.85
568,9.72
569,9.57
570,9.43
571,9.3
572,9.17
573,9.02
574,8.88
575,8.74
576,8.61
577,8.48
578,8.36
579,8.2
580,8.07
581,7.94
582,7.82
583,7.71
584,7.6
585,7.49
586,7.37
587,7.28
588,7.19
589,7.09
590,7.01
591,6.94
592,6.87
593,6.83
594,6.78
595,6.75
596,6.7
597,6.67
598,6.64
599,6.61
600,6.59
601,6.58
602,6.58
603,6.59
604,6.59
605,6.62
606,6.64
607,6.66
608,6.72
609,6.75
610,6.79
611,6.84
612,6.89
613,6.95
614,7.03
615,7.1
616,7.18
617,7.27
618,7.33
619,7.41
620,7.49
621,7.58
622,7.67
623,7.8
624,7.89
625,7.98
626,8.08
627,8.16
628,8.27
629,8.35
630,8.44
631,8.53
632,8.62
633,8.73
634,8.82
635,8.91
636,9
637,9.11
638,9.19
639,9.28
640,9.36
641,9.43
642,9.5
643,9.59
644,9.66
645,9.73
646,9.8
647,9.86
648,9.92
649,9.99
650,10.03
651,10.11
652,10.16
653,10.19
654,10.23
655,10.28
656,10.32
657,10.35
658,10.38
659,10.4
660,10.43
661,10.45
662,10.48
663,10.5
664,10.49
665,10.5
666,10.5
667,10.5
668,10.5
669,10.5
670,10.49
671,10.48
672,10.45
673,10.44
674,10.4
675,10.38
676,10.37
677,10.34
678,10.31
679,10.29
680,10.25
681,10.22
682,10.19
683,10.15
684,10.1
685,10.03
686,9.99
687,9.92
688,9.87
689,9.82
690,9.77
691,9.72
692,9.66
693,9.61
694,9.55
695,9.51
696,9.46
697,9.41
698,9.33
699,9.25
700,9.19
