nm,SCAN
400,18.89333333
401,18.73
402,18.57333333
403,18.45666667
404,18.34333333
405,18.25
406,18.13
407,18.06333333
408,17.98
409,17.82
410,17.70333333
411,17.56
412,17.43333333
413,17.33
414,17.25666667
415,17.21333333
416,17.14666667
417,17.07333333
418,17
419,16.91
420,16.8
421,16.68
422,16.59333333
423,16.50333333
424,16.39666667
425,16.38666667
426,16.28666667
427,16.24
428,16.17
429,16.04333333
430,16.01333333
431,15.97
432,15.91333333
433,15.85333333
434,15.80333333
435,15.71333333
436,15.64333333
437,15.58333333
438,15.53333333
439,15.51333333
440,15.44666667
441,15.38
442,15.32333333
443,15.27
444,15.23
445,15.20333333
446,15.16
447,15.11
448,15.05666667
449,14.99333333
450,14.94666667
451,14.88333333
452,14.85333333
453,14.79666667
454,14.78
455,14.76
456,14.72666667
457,14.68
458,14.63666667
459,14.59
460,14.56333333
461,14.55333333
462,14.52
463,14.49333333
464,14.47333333
465,14.42
466,14.42333333
467,14.40333333
468,14.36
469,14.33333333
470,14.3
471,14.26333333
472,14.21666667
473,14.18666667
474,14.16
475,14.14
476,14.12666667
477,14.11
478,14.08
479,14.06333333
480,14.04
481,14.02
482,14.01
483,13.99
484,13.96666667
485,13.95333333
486,13.94
487,13.93333333
488,13.92333333
489,13.89666667
490,13.88333333
491,13.86666667
492,13.84333333
493,13.84
494,13.82333333
495,13.81333333
496,13.81333333
497,13.80333333
498,13.78333333
499,13.78
500,13.75666667
501,13.75333333
502,13.75333333
503,13.74333333
504,13.74666667
505,13.74
506,13.72333333
507,13.71333333
508,13.69666667
509,13.68666667
510,13.68
511,13.68666667
512,13.69
513,13.69
514,13.68
515,13.68
516,13.67
517,13.67666667
518,13.67666667
519,13.67
520,13.66666667
521,13.67
522,13.67
523,13.66666667
524,13.66666667
525,13.67333333
526,13.66666667
527,13.66333333
528,13.66333333
529,13.64666667
530,13.63666667
531,13.63333333
532,13.63
533,13.62333333
534,13.63
535,13.63666667
536,13.63666667
537,13.64
538,13.63666667
539,13.64
540,13.63333333
541,13.63
542,13.62333333
543,13.62
544,13.62
545,13.61666667
546,13.61
547,13.60333333
548,13.61
549,13.61333333
550,13.62
551,13.61
552,13.61666667
553,13.61
554,13.61666667
555,13.61666667
556,13.60333333
557,13.60666667
558,13.6
559,13.59333333
560,13.6
561,13.59666667
562,13.59
563,13.59666667
564,13.59333333
565,13.6
566,13.60333333
567,13.6
568,13.60666667
569,13.60333333
570,13.59666667
571,13.59666667
572,13.58666667
573,13.59
574,13.58666667
575,13.59
576,13.59333333
577,13.58666667
578,13.58333333
579,13.57666667
580,13.58
581,13.57666667
582,13.58
583,13.57
584,13.56666667
585,13.56666667
586,13.56333333
587,13.57333333
588,13.57333333
589,13.58
590,13.58333333
591,13.57333333
592,13.56333333
593,13.55666667
594,13.55333333
595,13.55
596,13.54666667
597,13.55
598,13.55
599,13.54666667
600,13.54
601,13.53333333
602,13.52333333
603,13.53
604,13.52666667
605,13.52666667
606,13.53
607,13.52666667
608,13.52
609,13.52333333
610,13.52666667
611,13.52666667
612,13.52333333
613,13.52
614,13.52
615,13.52666667
616,13.53666667
617,13.55
618,13.55333333
619,13.54666667
620,13.55333333
621,13.55
622,13.54666667
623,13.54666667
624,13.55
625,13.54333333
626,13.54333333
627,13.53666667
628,13.51666667
629,13.51666667
630,13.51
631,13.50666667
632,13.50333333
633,13.50333333
634,13.5
635,13.49666667
636,13.50333333
637,13.49666667
638,13.48333333
639,13.47666667
640,13.47
641,13.45666667
642,13.46
643,13.45333333
644,13.44666667
645,13.44333333
646,13.44333333
647,13.43333333
648,13.43666667
649,13.42666667
650,13.41333333
651,13.41333333
652,13.40666667
653,13.41
654,13.40333333
655,13.4
656,13.40333333
657,13.4
658,13.39666667
659,13.38666667
660,13.37333333
661,13.36666667
662,13.36333333
663,13.36
664,13.35
665,13.35333333
666,13.34333333
667,13.33666667
668,13.33333333
669,13.32
670,13.31666667
671,13.30666667
672,13.3
673,13.3
674,13.29
675,13.28666667
676,13.28333333
677,13.27333333
678,13.26666667
679,13.25333333
680,13.24666667
681,13.25666667
682,13.25333333
683,13.25666667
684,13.25
685,13.24333333
686,13.23666667
687,13.23
688,13.22666667
689,13.22333333
690,13.22333333
691,13.21
692,13.20333333
693,13.19333333
694,13.18666667
695,13.19
696,13.17666667
697,13.17
698,13.17333333
699,13.16333333
700,13.17333333
