nm,SCAN
400,9.63
401,9.62
402,9.51
403,9.52
404,9.49
405,9.53
406,9.57
407,9.54
408,9.46
409,9.47
410,9.36
411,9.48
412,9.58
413,9.56
414,9.62
415,9.6
416,9.63
417,9.65
418,9.68
419,9.71
420,9.67
421,9.64
422,9.72
423,9.7
424,9.72
425,9.8
426,9.84
427,9.89
428,9.91
429,9.97
430,9.98
431,9.97
432,10.02
433,10.07
434,10.05
435,10.12
436,10.2
437,10.23
438,10.25
439,10.33
440,10.38
441,10.4
442,10.45
443,10.49
444,10.53
445,10.62
446,10.66
447,10.71
448,10.69
449,10.68
450,10.69
451,10.72
452,10.78
453,10.83
454,10.9
455,10.91
456,10.93
457,10.97
458,10.99
459,11.09
460,11.14
461,11.18
462,11.2
463,11.21
464,11.21
465,11.23
466,11.24
467,11.28
468,11.3
469,11.32
470,11.36
471,11.39
472,11.41
473,11.42
474,11.44
475,11.46
476,11.47
477,11.52
478,11.53
479,11.57
480,11.59
481,11.6
482,11.63
483,11.64
484,11.64
485,11.66
486,11.66
487,11.66
488,11.69
489,11.7
490,11.71
491,11.71
492,11.71
493,11.7
494,11.71
495,11.71
496,11.72
497,11.71
498,11.72
499,11.71
500,11.71
501,11.7
502,11.71
503,11.72
504,11.74
505,11.72
506,11.72
507,11.73
508,11.72
509,11.74
510,11.75
511,11.73
512,11.71
513,11.71
514,11.7
515,11.68
516,11.68
517,11.67
518,11.65
519,11.65
520,11.65
521,11.65
522,11.62
523,11.62
524,11.6
525,11.58
526,11.59
527,11.57
528,11.56
529,11.55
530,11.52
531,11.51
532,11.49
533,11.48
534,11.45
535,11.43
536,11.42
537,11.4
538,11.37
539,11.37
540,11.34
541,11.31
542,11.3
543,11.27
544,11.25
545,11.22
546,11.2
547,11.18
548,11.19
549,11.17
550,11.15
551,11.12
552,11.11
553,11.08
554,11.05
555,11.04
556,11.01
557,10.97
558,10.94
559,10.91
560,10.89
561,10.87
562,10.86
563,10.84
564,10.83
565,10.8
566,10.77
567,10.74
568,10.7
569,10.69
570,10.66
571,10.65
572,10.61
573,10.59
574,10.58
575,10.55
576,10.54
577,10.51
578,10.48
579,10.46
580,10.43
581,10.39
582,10.37
583,10.34
584,10.32
585,10.31
586,10.28
587,10.26
588,10.24
589,10.21
590,10.2
591,10.18
592,10.14
593,10.12
594,10.09
595,10.06
596,10.04
597,10
598,9.99
599,9.96
600,9.95
601,9.94
602,9.92
603,9.91
604,9.89
605,9.86
606,9.84
607,9.81
608,9.79
609,9.78
610,9.76
611,9.74
612,9.72
613,9.7
614,9.69
615,9.67
616,9.66
617,9.64
618,9.62
619,9.61
620,9.59
621,9.58
622,9.56
623,9.53
624,9.52
625,9.5
626,9.49
627,9.48
628,9.47
629,9.46
630,9.45
631,9.43
632,9.41
633,9.4
634,9.39
635,9.37
636,9.36
637,9.34
638,9.32
639,9.31
640,9.3
641,9.28
642,9.27
643,9.26
644,9.25
645,9.25
646,9.24
647,9.21
648,9.2
649,9.18
650,9.15
651,9.13
652,9.12
653,9.12
654,9.13
655,9.13
656,9.13
657,9.11
658,9.1
659,9.1
660,9.09
661,9.09
662,9.06
663,9.05
664,9.05
665,9.05
666,9.03
667,9.01
668,8.99
669,8.98
670,8.98
671,8.97
672,8.97
673,8.97
674,8.97
675,8.96
676,8.96
677,8.95
678,8.93
679,8.93
680,8.92
681,8.92
682,8.94
683,8.94
684,8.96
685,8.97
686,8.96
687,8.95
688,8.94
689,8.93
690,8.91
691,8.92
692,8.9
693,8.9
694,8.91
695,8.91
696,8.93
697,8.94
698,8.93
699,8.91
700,8.92
