nm,SCAN
400,15.32
401,15.21
402,15.04
403,14.96
404,14.92
405,14.83
406,14.84
407,14.79
408,14.67
409,14.54
410,14.45
411,14.39
412,14.31
413,14.25
414,14.21
415,14.14
416,14.14
417,13.99
418,13.92
419,13.91
420,13.81
421,13.67
422,13.63
423,13.54
424,13.39
425,13.38
426,13.33
427,13.24
428,13.21
429,13.24
430,13.22
431,13.17
432,13.08
433,13
434,12.84
435,12.76
436,12.78
437,12.71
438,12.7
439,12.64
440,12.57
441,12.46
442,12.33
443,12.32
444,12.25
445,12.23
446,12.24
447,12.22
448,12.16
449,12.12
450,12.06
451,11.99
452,11.93
453,11.86
454,11.85
455,11.77
456,11.75
457,11.67
458,11.64
459,11.6
460,11.55
461,11.53
462,11.48
463,11.44
464,11.38
465,11.32
466,11.25
467,11.23
468,11.2
469,11.19
470,11.12
471,11.07
472,11.04
473,10.99
474,10.95
475,10.92
476,10.87
477,10.82
478,10.77
479,10.73
480,10.7
481,10.67
482,10.66
483,10.62
484,10.59
485,10.56
486,10.53
487,10.5
488,10.48
489,10.44
490,10.41
491,10.37
492,10.34
493,10.29
494,10.25
495,10.22
496,10.2
497,10.17
498,10.15
499,10.12
500,10.08
501,10.05
502,10.04
503,10
504,9.97
505,9.95
506,9.91
507,9.86
508,9.86
509,9.82
510,9.79
511,9.76
512,9.72
513,9.68
514,9.66
515,9.64
516,9.62
517,9.6
518,9.59
519,9.55
520,9.54
521,9.51
522,9.49
523,9.47
524,9.44
525,9.42
526,9.4
527,9.36
528,9.33
529,9.31
530,9.27
531,9.24
532,9.22
533,9.21
534,9.17
535,9.16
536,9.15
537,9.13
538,9.11
539,9.09
540,9.05
541,9.03
542,9
543,8.98
544,8.95
545,8.94
546,8.92
547,8.89
548,8.88
549,8.86
550,8.85
551,8.84
552,8.81
553,8.79
554,8.76
555,8.73
556,8.7
557,8.68
558,8.65
559,8.62
560,8.61
561,8.59
562,8.59
563,8.58
564,8.55
565,8.54
566,8.51
567,8.49
568,8.48
569,8.47
570,8.46
571,8.44
572,8.4
573,8.38
574,8.35
575,8.34
576,8.33
577,8.32
578,8.29
579,8.26
580,8.23
581,8.22
582,8.22
583,8.21
584,8.19
585,8.18
586,8.16
587,8.14
588,8.12
589,8.08
590,8.06
591,8.04
592,8.02
593,8.02
594,7.99
595,7.98
596,7.98
597,7.96
598,7.95
599,7.93
600,7.92
601,7.89
602,7.87
603,7.86
604,7.85
605,7.83
606,7.83
607,7.8
608,7.78
609,7.77
610,7.77
611,7.76
612,7.73
613,7.72
614,7.71
615,7.69
616,7.69
617,7.68
618,7.67
619,7.65
620,7.64
621,7.62
622,7.59
623,7.57
624,7.55
625,7.55
626,7.54
627,7.53
628,7.52
629,7.51
630,7.5
631,7.48
632,7.47
633,7.44
634,7.44
635,7.43
636,7.41
637,7.4
638,7.38
639,7.37
640,7.35
641,7.33
642,7.32
643,7.28
644,7.26
645,7.27
646,7.26
647,7.25
648,7.25
649,7.23
650,7.22
651,7.21
652,7.19
653,7.17
654,7.16
655,7.15
656,7.13
657,7.13
658,7.12
659,7.11
660,7.09
661,7.08
662,7.05
663,7.03
664,7.03
665,7.01
666,7.01
667,6.99
668,6.97
669,6.96
670,6.94
671,6.93
672,6.93
673,6.92
674,6.91
675,6.9
676,6.9
677,6.88
678,6.87
679,6.85
680,6.83
681,6.82
682,6.81
683,6.8
684,6.78
685,6.78
686,6.76
687,6.75
688,6.74
689,6.72
690,6.71
691,6.7
692,6.68
693,6.68
694,6.67
695,6.66
696,6.65
697,6.64
698,6.62
699,6.61
700,6.59
