nm,SCAN
400,17.4
401,17.17
402,16.95
403,16.77
404,16.54
405,16.16
406,15.9
407,15.64
408,15.29
409,15.05
410,14.79
411,14.39
412,14.15
413,13.9
414,13.63
415,13.35
416,13.08
417,12.77
418,12.5
419,12.32
420,12.04
421,11.81
422,11.59
423,11.36
424,11.16
425,10.99
426,10.68
427,10.35
428,10.06
429,9.8
430,9.66
431,9.49
432,9.29
433,9.1
434,8.85
435,8.63
436,8.49
437,8.25
438,8.06
439,7.87
440,7.71
441,7.5
442,7.36
443,7.21
444,7.03
445,6.85
446,6.71
447,6.53
448,6.32
449,6.2
450,6.06
451,5.97
452,5.86
453,5.73
454,5.65
455,5.52
456,5.37
457,5.27
458,5.13
459,4.99
460,4.92
461,4.81
462,4.76
463,4.7
464,4.64
465,4.56
466,4.49
467,4.44
468,4.37
469,4.35
470,4.3
471,4.26
472,4.17
473,4.11
474,4.06
475,4.02
476,4
477,3.98
478,3.96
479,3.95
480,3.91
481,3.89
482,3.89
483,3.85
484,3.84
485,3.82
486,3.8
487,3.81
488,3.83
489,3.85
490,3.87
491,3.87
492,3.88
493,3.87
494,3.87
495,3.88
496,3.91
497,3.94
498,3.94
499,3.96
500,4
501,4.03
502,4.08
503,4.11
504,4.14
505,4.16
506,4.21
507,4.25
508,4.29
509,4.33
510,4.37
511,4.42
512,4.47
513,4.54
514,4.59
515,4.65
516,4.7
517,4.76
518,4.81
519,4.87
520,4.93
521,4.98
522,5.05
523,5.11
524,5.17
525,5.24
526,5.31
527,5.36
528,5.44
529,5.5
530,5.56
531,5.64
532,5.71
533,5.78
534,5.84
535,5.91
536,5.98
537,6.05
538,6.13
539,6.2
540,6.26
541,6.33
542,6.4
543,6.46
544,6.54
545,6.6
546,6.68
547,6.75
548,6.83
549,6.93
550,7
551,7.07
552,7.14
553,7.22
554,7.3
555,7.37
556,7.46
557,7.52
558,7.6
559,7.68
560,7.76
561,7.83
562,7.9
563,7.98
564,8.05
565,8.14
566,8.21
567,8.3
568,8.38
569,8.45
570,8.52
571,8.6
572,8.66
573,8.74
574,8.81
575,8.89
576,8.96
577,9.03
578,9.1
579,9.2
580,9.27
581,9.34
582,9.42
583,9.48
584,9.55
585,9.62
586,9.68
587,9.76
588,9.83
589,9.91
590,9.98
591,10.04
592,10.11
593,10.17
594,10.24
595,10.32
596,10.39
597,10.48
598,10.55
599,10.62
600,10.68
601,10.75
602,10.81
603,10.87
604,10.92
605,10.99
606,11.06
607,11.12
608,11.19
609,11.24
610,11.31
611,11.39
612,11.44
613,11.51
614,11.56
615,11.62
616,11.69
617,11.77
618,11.82
619,11.89
620,11.96
621,12.02
622,12.1
623,12.16
624,12.2
625,12.24
626,12.3
627,12.35
628,12.41
629,12.47
630,12.52
631,12.56
632,12.61
633,12.69
634,12.74
635,12.79
636,12.83
637,12.87
638,12.93
639,12.97
640,13.03
641,13.08
642,13.12
643,13.18
644,13.21
645,13.25
646,13.28
647,13.32
648,13.37
649,13.4
650,13.45
651,13.51
652,13.53
653,13.57
654,13.62
655,13.66
656,13.71
657,13.76
658,13.79
659,13.83
660,13.87
661,13.89
662,13.93
663,13.98
664,14.02
665,14.06
666,14.09
667,14.14
668,14.17
669,14.2
670,14.23
671,14.27
672,14.3
673,14.33
674,14.38
675,14.41
676,14.45
677,14.47
678,14.51
679,14.53
680,14.54
681,14.58
682,14.6
683,14.64
684,14.67
685,14.71
686,14.72
687,14.75
688,14.78
689,14.8
690,14.85
691,14.87
692,14.89
693,14.91
694,14.92
695,14.94
696,14.97
697,14.99
698,15.01
699,15.04
700,15.06
