nm,SCAN
400,15.3
401,15.03
402,14.8
403,14.52
404,14.29
405,14.11
406,13.97
407,13.86
408,13.7
409,13.45
410,13.22
411,12.98
412,12.67
413,12.49
414,12.27
415,12.07
416,11.8
417,11.61
418,11.44
419,11.25
420,11.06
421,10.86
422,10.65
423,10.52
424,10.28
425,10.05
426,9.89
427,9.7
428,9.5
429,9.37
430,9.18
431,8.99
432,8.82
433,8.63
434,8.42
435,8.27
436,8.07
437,7.93
438,7.83
439,7.73
440,7.61
441,7.41
442,7.28
443,7.11
444,6.98
445,6.85
446,6.77
447,6.61
448,6.48
449,6.34
450,6.21
451,6.11
452,6
453,5.9
454,5.81
455,5.71
456,5.62
457,5.51
458,5.48
459,5.38
460,5.27
461,5.19
462,5.08
463,5.04
464,4.97
465,4.92
466,4.88
467,4.8
468,4.73
469,4.64
470,4.59
471,4.54
472,4.48
473,4.45
474,4.4
475,4.36
476,4.33
477,4.3
478,4.27
479,4.23
480,4.2
481,4.17
482,4.15
483,4.14
484,4.13
485,4.11
486,4.09
487,4.06
488,4.06
489,4.04
490,4.04
491,4.04
492,4.01
493,4.02
494,4.01
495,4.02
496,4.03
497,4.04
498,4.05
499,4.06
500,4.07
501,4.07
502,4.08
503,4.09
504,4.12
505,4.15
506,4.18
507,4.21
508,4.23
509,4.24
510,4.26
511,4.29
512,4.33
513,4.36
514,4.39
515,4.41
516,4.46
517,4.49
518,4.54
519,4.58
520,4.62
521,4.67
522,4.7
523,4.75
524,4.78
525,4.82
526,4.86
527,4.9
528,4.95
529,5
530,5.05
531,5.09
532,5.14
533,5.19
534,5.24
535,5.29
536,5.34
537,5.39
538,5.44
539,5.49
540,5.56
541,5.61
542,5.66
543,5.72
544,5.77
545,5.82
546,5.88
547,5.93
548,5.99
549,6.06
550,6.11
551,6.16
552,6.23
553,6.28
554,6.33
555,6.39
556,6.45
557,6.52
558,6.58
559,6.64
560,6.69
561,6.74
562,6.8
563,6.85
564,6.92
565,6.97
566,7.03
567,7.1
568,7.17
569,7.22
570,7.28
571,7.33
572,7.39
573,7.45
574,7.51
575,7.57
576,7.64
577,7.69
578,7.75
579,7.82
580,7.87
581,7.93
582,7.98
583,8.03
584,8.09
585,8.14
586,8.2
587,8.27
588,8.33
589,8.4
590,8.46
591,8.49
592,8.54
593,8.61
594,8.66
595,8.72
596,8.78
597,8.86
598,8.9
599,8.95
600,8.99
601,9.04
602,9.1
603,9.17
604,9.22
605,9.28
606,9.33
607,9.37
608,9.41
609,9.47
610,9.52
611,9.59
612,9.63
613,9.68
614,9.74
615,9.78
616,9.85
617,9.92
618,9.97
619,10.02
620,10.08
621,10.12
622,10.17
623,10.22
624,10.26
625,10.31
626,10.37
627,10.41
628,10.46
629,10.5
630,10.53
631,10.59
632,10.64
633,10.68
634,10.74
635,10.77
636,10.81
637,10.87
638,10.91
639,10.96
640,11
641,11.02
642,11.07
643,11.11
644,11.15
645,11.2
646,11.24
647,11.28
648,11.32
649,11.35
650,11.39
651,11.42
652,11.46
653,11.5
654,11.53
655,11.57
656,11.6
657,11.64
658,11.67
659,11.7
660,11.73
661,11.76
662,11.79
663,11.84
664,11.87
665,11.89
666,11.92
667,11.96
668,12
669,12.03
670,12.07
671,12.1
672,12.14
673,12.17
674,12.21
675,12.23
676,12.25
677,12.26
678,12.28
679,12.3
680,12.33
681,12.36
682,12.4
683,12.42
684,12.47
685,12.51
686,12.53
687,12.57
688,12.59
689,12.61
690,12.64
691,12.63
692,12.65
693,12.67
694,12.69
695,12.72
696,12.75
697,12.77
698,12.81
699,12.83
700,12.84
