nm,SCAN
400,5.77
401,6
402,6.1
403,6.21
404,6.24
405,6.26
406,6.25
407,6.24
408,6.15
409,5.91
410,5.85
411,5.71
412,5.5
413,5.36
414,5.11
415,4.76
416,4.46
417,4.31
418,4.13
419,4.16
420,4.07
421,4.08
422,4.01
423,4.08
424,4.25
425,4.35
426,4.52
427,4.7
428,4.84
429,5.04
430,5.21
431,5.41
432,5.57
433,5.68
434,5.78
435,5.87
436,5.92
437,6.01
438,6.02
439,6.02
440,5.94
441,5.86
442,5.76
443,5.6
444,5.42
445,5.27
446,5.09
447,4.92
448,4.8
449,4.7
450,4.56
451,4.5
452,4.37
453,4.31
454,4.27
455,4.22
456,4.25
457,4.26
458,4.29
459,4.37
460,4.43
461,4.51
462,4.59
463,4.65
464,4.71
465,4.78
466,4.88
467,4.97
468,5.12
469,5.22
470,5.29
471,5.34
472,5.34
473,5.37
474,5.41
475,5.42
476,5.43
477,5.42
478,5.41
479,5.42
480,5.39
481,5.36
482,5.34
483,5.26
484,5.2
485,5.12
486,5.05
487,4.96
488,4.9
489,4.86
490,4.81
491,4.76
492,4.69
493,4.64
494,4.58
495,4.54
496,4.52
497,4.5
498,4.47
499,4.44
500,4.42
501,4.41
502,4.4
503,4.41
504,4.41
505,4.43
506,4.42
507,4.44
508,4.44
509,4.45
510,4.48
511,4.49
512,4.5
513,4.52
514,4.55
515,4.59
516,4.64
517,4.69
518,4.74
519,4.77
520,4.82
521,4.86
522,4.9
523,4.95
524,4.98
525,5.03
526,5.07
527,5.12
528,5.15
529,5.18
530,5.21
531,5.23
532,5.27
533,5.29
534,5.31
535,5.3
536,5.28
537,5.27
538,5.26
539,5.25
540,5.23
541,5.18
542,5.13
543,5.08
544,5.02
545,4.96
546,4.88
547,4.81
548,4.73
549,4.63
550,4.56
551,4.47
552,4.4
553,4.33
554,4.24
555,4.18
556,4.11
557,4.05
558,4
559,3.94
560,3.9
561,3.87
562,3.86
563,3.86
564,3.85
565,3.87
566,3.87
567,3.89
568,3.92
569,3.96
570,4
571,4.07
572,4.14
573,4.22
574,4.3
575,4.39
576,4.49
577,4.58
578,4.7
579,4.79
580,4.9
581,5
582,5.1
583,5.19
584,5.28
585,5.36
586,5.43
587,5.5
588,5.57
589,5.62
590,5.68
591,5.72
592,5.73
593,5.77
594,5.78
595,5.79
596,5.79
597,5.77
598,5.73
599,5.69
600,5.64
601,5.58
602,5.52
603,5.45
604,5.37
605,5.25
606,5.14
607,5.02
608,4.9
609,4.79
610,4.7
611,4.58
612,4.48
613,4.37
614,4.25
615,4.15
616,4.04
617,3.92
618,3.82
619,3.73
620,3.65
621,3.57
622,3.49
623,3.41
624,3.38
625,3.34
626,3.32
627,3.3
628,3.28
629,3.28
630,3.29
631,3.31
632,3.35
633,3.4
634,3.45
635,3.5
636,3.58
637,3.64
638,3.74
639,3.83
640,3.92
641,4.02
642,4.14
643,4.26
644,4.37
645,4.5
646,4.61
647,4.75
648,4.88
649,4.98
650,5.1
651,5.22
652,5.31
653,5.4
654,5.5
655,5.62
656,5.7
657,5.79
658,5.86
659,5.93
660,5.99
661,6.04
662,6.08
663,6.12
664,6.15
665,6.16
666,6.17
667,6.16
668,6.13
669,6.11
670,6.06
671,6.01
672,5.97
673,5.93
674,5.86
675,5.79
676,5.71
677,5.61
678,5.53
679,5.43
680,5.32
681,5.22
682,5.1
683,5
684,4.87
685,4.74
686,4.62
687,4.5
688,4.39
689,4.28
690,4.17
691,4.05
692,3.92
693,3.81
694,3.7
695,3.62
696,3.54
697,3.45
698,3.35
699,3.28
700,3.2
